date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,null,0,0,null
2020-02-16,0,null,0,0,null
2020-02-17,0,null,0,0,null
2020-02-18,0,null,0,0,null
2020-02-19,2,null,0,2,null
2020-02-20,5,3,3,2,0
2020-02-21,18,13,14,4,2
2020-02-22,29,11,23,6,2
2020-02-23,43,14,34,8,2
2020-02-24,61,18,46,12,4
2020-02-25,95,34,54,16,4
2020-02-26,139,44,95,19,3
2020-02-27,245,106,165,26,7
2020-02-28,388,143,281,34,8
2020-02-29,593,205,427,43,9
2020-03-01,978,385,749,54,11
2020-03-02,1501,523,1144,66,12
2020-03-03,2336,835,1824,77,11
2020-03-04,2922,586,2278,92,15
2020-03-05,3513,591,2666,108,16
2020-03-06,4747,1234,3710,124,16
2020-03-07,5823,1076,4009,145,21
2020-03-08,6566,743,4238,194,49
2020-03-09,7161,595,4530,237,43
2020-03-10,8042,881,5020,291,54
2020-03-11,9000,958,5687,354,63
2020-03-12,10075,1075,6370,429,75
2020-03-13,11364,1289,7321,514,85
2020-03-14,12729,1365,7779,611,97
2020-03-15,13938,1209,8624,724,113
2020-03-16,14991,1053,9142,853,129
2020-03-17,16169,1178,9792,988,135
2020-03-18,17361,1192,10516,1135,147
2020-03-19,18407,1046,11144,1284,149
2020-03-20,19644,1237,11466,1433,149
2020-03-21,20610,966,11419,1556,123
2020-03-22,21638,1028,12040,1685,129
2020-03-23,23049,1411,12861,1812,127
2020-03-24,24811,1762,13964,1934,122
2020-03-25,27017,2206,15315,2077,143
2020-03-26,29406,2389,16715,2234,157
2020-03-27,32332,2926,18821,2378,144
2020-03-28,35408,3076,21212,2517,139
2020-03-29,38309,2901,23278,2640,123
2020-03-30,41495,3186,24827,2757,117
2020-03-31,44605,3110,27051,2898,141
2020-04-01,47593,2988,29084,3036,138
2020-04-02,50468,2875,30597,3160,124
2020-04-03,53183,2715,31954,3294,134
2020-04-04,55743,2560,32555,3452,158
2020-04-05,58226,2483,32612,3603,151
2020-04-06,60500,2274,32525,3739,136
2020-04-07,62589,2089,31678,3872,133
2020-04-08,64586,1997,30781,3993,121
2020-04-09,66220,1634,29801,4110,117
2020-04-10,68192,1972,28495,4232,122
2020-04-11,70029,1837,23725,4357,125
2020-04-12,71686,1657,23318,4474,117
2020-04-13,73303,1617,22735,4585,111
2020-04-14,74877,1574,22065,4683,98
2020-04-15,76389,1512,21679,4777,94
2020-04-16,77995,1606,20897,4869,92
2020-04-17,79494,1499,20472,4958,89
2020-04-18,80868,1374,19850,5031,73
2020-04-19,82211,1343,20070,5118,87
2020-04-20,83505,1294,19023,5209,91
2020-04-21,84802,1297,18540,5297,88
2020-04-22,85996,1194,17492,5391,94
2020-04-23,87026,1030,16702,5481,90
2020-04-24,88194,1168,16021,5574,93
2020-04-25,89328,1134,15485,5650,76
2020-04-26,90481,1153,15114,5710,60
2020-04-27,91472,991,14733,5806,96
2020-04-28,92584,1112,14268,5877,71
2020-04-29,93657,1073,13909,5957,80
2020-04-30,94640,983,13509,6028,71
2020-05-01,95646,1006,13237,6091,63
2020-05-02,96448,802,12942,6156,65
2020-05-03,97424,976,12799,6203,47
2020-05-04,98647,1223,12991,6277,74
2020-05-05,99970,1323,13155,6340,63
2020-05-06,101650,1680,13645,6418,78
2020-05-07,103135,1485,13905,6486,68
2020-05-08,104691,1556,14313,6541,55
2020-05-09,106220,1529,14567,6589,48
2020-05-10,107603,1383,14820,6640,51
2020-05-11,109286,1683,15179,6685,45
2020-05-12,110767,1481,15677,6733,48
2020-05-13,112725,1958,16514,6783,50
2020-05-14,114533,1808,17140,6854,71
2020-05-15,116635,2102,17897,6902,48
2020-05-16,118392,1757,18308,6937,35
2020-05-17,120198,1806,18746,6988,51
2020-05-18,122492,2294,19774,7057,69
2020-05-19,124603,2111,20311,7119,62
2020-05-20,126949,2346,20958,7183,64
2020-05-21,129341,2392,21528,7249,66
2020-05-22,131652,2311,22076,7300,51
2020-05-23,133521,1869,22090,7359,59
2020-05-24,135701,2180,22483,7417,58
2020-05-25,137724,2023,22560,7451,34
2020-05-26,139511,1787,22566,7508,57
2020-05-27,141591,2080,22851,7564,56
2020-05-28,143849,2258,23234,7627,63
2020-05-29,146668,2819,24060,7677,50
2020-05-30,148950,2282,24389,7734,57
2020-05-31,151466,2516,24821,7797,63
2020-06-01,154445,2979,25563,7878,81
2020-06-02,157562,3117,26543,7942,64
2020-06-03,160696,3134,27478,8012,70
2020-06-04,164270,3574,28714,8071,59
2020-06-05,167156,2886,29281,8134,63
2020-06-06,169425,2269,29178,8209,75
2020-06-07,171789,2364,29159,8281,72
